DOW,stop_id,direction_id,firstArrival_mam,lastArrival_mam,trips,averageHeadway,longestHeadway,Percentile90_hw,span_min,span_max,freq_min,span_pass,freq_pass,stop_code,stop_name,stop_desc,stop_lat,stop_lon
SA,0102c992-9895-4ccf-8ea1-d469fefb1dc1,NA,537,981,13,37,102,80.9,480,1110,20,FALSE,FALSE,MB22,Newton and Weed St,,42.346049239996,-71.55065486137
SA,0895529e-8620-49e2-96b7-b2bc7482193b,NA,500,966,6,93.2,105,99.4,480,1110,20,FALSE,FALSE,N57,Avenu at Natick,,42.3010136068471,-71.379806183565
SA,08bddd79-9213-464e-bbb5-226afb92a77a,NA,554.4333333333333,972.0666666666667,8,59.66190476190478,60,60,480,1110,20,FALSE,FALSE,N38,Mathworks Lakeside,,42.302639025607,-71.3758499250322
SA,0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd,NA,495,1044,14,42.23076923076923,94,91,480,1110,20,FALSE,FALSE,F58,Halstead Apartments Rear Parking,,42.2935919340606,-71.4708215874923
SA,0a959b0e-7d4c-4b4c-90b0-72ee387a9387,NA,559.3666666666667,954.5666666666667,7,65.86666666666667,70.20000000000005,67.60000000000002,480,1110,20,FALSE,FALSE,F19,Vernon St & Pleasant St,,42.30080555,-71.43608808
SA,0c31e628-5b24-44fa-808c-f24b81e1edb3,NA,559,995,8,62.285714285714285,97,95.8,480,1110,20,FALSE,FALSE,S3,Downtown Southborough,,42.305753070459,-71.5260227934136
SA,0d563411-d457-4657-9811-baaf24b4cea7,NA,600.5833333333334,998.5833333333334,4,132.66666666666666,135,134.6,480,1110,20,FALSE,FALSE,S8,Central St & Route 30,,42.3021830500474,-71.5096063321594
SA,1960ce3a-fc28-4f04-901e-25703c6a0f40,NA,602,1002,7,66.66666666666667,75,70,480,1110,20,FALSE,FALSE,F42,Arsenal Rd,,42.295707,-71.41065
SA,1b9378ff-35b5-4642-ba52-662ba5384f4a,NA,578,1035,11,45.7,49,48.1,480,1110,20,FALSE,FALSE,F65,Arlington St/Waushakum St,,42.2712209684385,-71.4175287733989
SA,1bdefae5-45ed-4fe7-ab0f-d92b7e1a4320,NA,572,996,8,60.57142857142857,64,61.6,480,1110,20,FALSE,FALSE,F72,Route 9/Beacon St,,42.2982978700577,-71.4088156168947
SA,1ec91042-4319-40bf-b4ed-62d37f2cc0e5,NA,541,991,10,50,56,56,480,1110,20,FALSE,FALSE,MB13,Marlborough Hospital,,42.3537444981184,-71.5548820230294
SA,1f409f79-be89-4902-9cd6-5849c28cc1d9,NA,543,998,11,45.5,48,47.1,480,1110,20,FALSE,FALSE,F60,MCI/Adesa,MCI Adesa,42.2638757386134,-71.4077534620615
SA,2084f27d-e861-4134-8367-842a0e9d8645,NA,530,999,6,93.8,105,100.6,480,1110,20,FALSE,FALSE,N15,Natick Common,,42.28378,-71.34729
SA,266a135e-4851-4d05-8bcf-3b9726df2bc6,NA,548.2,548.2,1,NA,-Inf,NA,480,1110,20,FALSE,NA,F57,Franklin St & Proctor St,,42.2796323764105,-71.4187786828744
SA,2f68e90d-cb3e-4ec3-b2c4-44d403e5748e,NA,514,1015,18,29.470588235294116,54,53,480,1110,20,FALSE,FALSE,N20,9/27 Shopping Plaza,,42.301094,-71.359134
SA,3603c005-0250-4761-b1dc-ecafe6315f58,NA,551,992,14,33.92307692307692,65,61.2,480,1110,20,FALSE,FALSE,F82,Framingham High School,,42.3192003261566,-71.4002124309666
SA,370b8338-7732-415a-accd-cc370c5bcbf0,NA,548,1003,11,45.5,48,47.1,480,1110,20,FALSE,FALSE,F51,Beaver St & Second St,,42.274105,-71.402115
SA,39f836a1-5c3d-434d-80fc-f3131b7c13c0,NA,562,1002,14,33.84615384615385,65,58.2,480,1110,20,FALSE,FALSE,F85,Edmans House,,42.3296850818208,-71.4374870918684
SA,3aafcbf7-e332-4b5b-b805-6a5a422ca195,NA,544,938,5,98.5,102,101.1,480,1110,20,FALSE,FALSE,MB2,Lincoln St & Pleasant St,,42.345905,-71.559561
SA,3b5930ba-f70e-4f74-a74d-a14da1918e43,NA,556,1033,6,95.4,105,103.80000000000001,480,1110,20,FALSE,FALSE,N27,Roche Bros.,,42.282056,-71.376886
SA,3ef7ac24-c8f0-4b6b-a81c-913ae133d342,NA,578,1002,8,60.57142857142857,64,61.6,480,1110,20,FALSE,FALSE,F73,Concord St/ Anzio Rd,,42.2930917020495,-71.4091803973425
SA,4175c54c-36a6-47cc-8f1b-f39575347fd7,NA,564,965,10,44.55555555555556,97,95.4,480,1110,20,FALSE,FALSE,MB5,Solomon Pond Mall,,42.35511,-71.61249
SA,444c6537-938f-4597-ab80-3e067bf0b865,NA,572,1029,22,21.761904761904763,49,47,480,1110,20,FALSE,FALSE,A4,Shaws Supermarket,,42.2407765532003,-71.4325330515226
SA,486fdfee-0b1e-415b-84e6-1f59068f0ffd,NA,531,993,15,33,60,53.900000000000006,480,1110,20,FALSE,FALSE,F43,Walmart,,42.300242,-71.400487
SA,488be29e-7723-4630-bdd5-aee6cf1d4e34,NA,549,1015,8,66.57142857142857,68,68,480,1110,20,FALSE,FALSE,F08,Rt 9 East Park & Ride,,42.2964055714849,-71.4836331596156
SA,48a17140-5009-49fc-96f7-75b0e626891c,NA,504,963,6,91.8,96,95.6,480,1110,20,FALSE,FALSE,F40,Flutie Pass Park and Ride,,42.3007212460471,-71.3909051651302
SA,496776cd-d98a-4704-985c-7f39e018aa3f,NA,617,1013,10,44,100,100,480,1110,20,FALSE,FALSE,MB17,Wayside Inn Store/ Hager St,,42.3516376228117,-71.4875853948346
SA,50f02614-d7ed-4faa-b21f-27c8d21dab28,NA,546,985,14,33.76923076923077,55,54,480,1110,20,FALSE,FALSE,MB9,Broad St / Lincoln St,,42.343861898414,-71.5629380382858
SA,5b5eba65-15c5-4fef-b902-1e297ba4d8e0,NA,565,995,15,30.714285714285715,59,53.5,480,1110,20,FALSE,FALSE,F26,Kohls,,42.302967596231,-71.3972029922726
SA,5bc0337e-0145-41d3-b825-4285af3fbda0,NA,548,988,14,33.84615384615385,65,61.8,480,1110,20,FALSE,FALSE,F22,Super Stop and Shop,,42.30596451,-71.40172177
SA,5ec0f6f9-8492-4516-bb0e-cbc6b5313d1c,NA,570,990,8,60,60,60,480,1110,20,FALSE,FALSE,F67,BJs Wholesale Club ,,42.3069573823784,-71.399089926427
SA,6250e0b1-76d5-4a93-9725-ae0d594d6910,NA,505,1025,40,13.333333333333334,40,34.2,480,1110,20,FALSE,TRUE,N21,Natick Mall - Wegmans,Natick Mall- Wegmans,42.3014669001977,-71.3863507739515
SA,651767dd-06d3-418b-be32-ee1befeff801,NA,495,1034,9,67.375,115,115,480,1110,20,FALSE,FALSE,F11,Framingham State University,,42.29773,-71.43723
SA,6b60b122-63e6-446b-91aa-a6068aba603f,NA,583,980,5,99.25,101,100.7,480,1110,20,FALSE,FALSE,MB20,Apex Entertainment,,42.3376391731286,-71.5916028077366
SA,72eeb424-870f-4754-ab60-975e5776f34d,NA,535,965,10,47.77777777777778,102,96.4,480,1110,20,FALSE,FALSE,MB1,Marlborough City Hall,,42.3468726782127,-71.5458376136921
SA,73a8ce41-f167-402d-880d-7902aa6f4bad,NA,493,959,6,93.2,105,99.4,480,1110,20,FALSE,FALSE,N23,Sherwood Village on Mill St.,,42.2884407513404,-71.3836390604758
SA,76b2f346-87aa-4f7c-b669-bed0672dee06,NA,518,1010,12,44.72727272727273,63,62,480,1110,20,FALSE,FALSE,W1,Oak St,,42.3036113264329,-71.3319703240377
SA,77f43449-c9d4-441a-abf1-6d885a14f6f6,NA,584,1012,8,61.142857142857146,68,63.2,480,1110,20,FALSE,FALSE,F54,Franklin / Mt. Wayte,,42.2900634878912,-71.4286653058926
SA,7c48755d-4bee-4a8d-b4f4-364c172a30e7,NA,579,1019,22,20.952380952380953,56,49,480,1110,20,FALSE,FALSE,F30,Lincoln St & Pearl St,,42.282087,-71.416022
SA,7ca11456-969c-43d0-a3e6-d0b6dcd50a10,NA,550,1005,11,45.5,48,47.1,480,1110,20,FALSE,FALSE,F66,Tarelli Ter/Waverly St,,42.2798053789023,-71.4031118990846
SA,7e3c3f82-c136-40a4-aea1-d2303c9690dd,NA,530,995,12,42.27272727272727,90,90,480,1110,20,FALSE,FALSE,W5,Woodland MBTA Train Station,,42.3331813414801,-71.2431033696594
SA,7f81b88d-02a0-463a-be76-ae4e76d91da1,NA,539,1006,8,66.71428571428571,69,69,480,1110,20,FALSE,FALSE,F14,Staples Drive,,42.2910773629592,-71.4883565299724
SA,82afee5a-a373-4673-b9d0-cab9c40edce6,NA,561,1018,11,45.7,49,49,480,1110,20,FALSE,FALSE,F04,Bethany Hill,,42.268521,-71.432618
SA,82e716bb-1434-4367-87eb-181ea29743e5,NA,548,1022,6,94.8,105,102.6,480,1110,20,FALSE,FALSE,N29,Cedar Terrace,,42.2729281945782,-71.3556958052931
SA,881ad83b-9563-4ae5-8569-032768b27578,NA,554,977,10,47,73,71.4,480,1110,20,FALSE,FALSE,MB18,Hannafords Plaza Marlborough,,42.3397460484353,-71.5916001255274
SA,8836b64d-6492-4cad-aee4-dff14001f563,NA,564,1021,11,45.7,49,49,480,1110,20,FALSE,FALSE,F68,Memorial House (Winthrop & Hollis),,42.2700689595979,-71.4199789714801
SA,8ff6b02f-424d-47ac-bebe-221ff72ad6fe,NA,571,968,7,66.16666666666667,72,68.5,480,1110,20,FALSE,FALSE,F53,Nobscot Shopping Center,,42.3286859589032,-71.4342644175449
SA,971b9fce-55fe-420c-8e6a-550961919153,NA,553,1017,22,22.095238095238095,60,57,480,1110,20,FALSE,FALSE,F15,MetroWest Medical Center,,42.28438494,-71.42004284
SA,973e7245-055e-4757-a16e-259d6e4c6d02,NA,604,1023,10,46.55555555555556,76,76,480,1110,20,FALSE,FALSE,MB14,Post Road Shopping Center,,42.3517931909438,-71.5359979293345
SA,9e7ed194-bd09-401e-9080-631f5fb9e4fa,NA,526,995,6,93.8,105,100.6,480,1110,20,FALSE,FALSE,N44,Moran Park/Downtown MBTA,,42.2854500881106,-71.3477564661358
SA,a3640a4a-c010-4521-bc02-b37f2d886148,NA,550,1025,6,95,105,103,480,1110,20,FALSE,FALSE,N28,Cedar Gardens,,42.273838804593,-71.3553591880416
SA,a3b507bc-cafe-4071-958c-dec4706d2474,NA,524,1004,14,36.92307692307692,74,64.2,480,1110,20,FALSE,FALSE,F29,Rose Kennedy Lane,,42.29052416,-71.41346032
SA,a8f64f01-0325-4fb4-bf93-aef4366af89f,NA,555,950,7,65.83333333333333,70,67.5,480,1110,20,FALSE,FALSE,F84,Callahan Center,,42.2936013217927,-71.4277251915768
SA,a9cb54ef-5213-4abd-8314-1c47ee85a2a5,NA,556,1012,11,45.6,49,48.1,480,1110,20,FALSE,FALSE,F02,Framingham MBTA Station,,42.27655464,-71.41777396
SA,a9f61865-59af-41f8-95c8-547fa186ddb8,NA,559,999,7,73.33333333333333,76,75.5,480,1110,20,FALSE,FALSE,F20,Nobscot Fire Station,,42.329557676885,-71.4322527606638
SA,b03a9fbb-fdfa-4ab5-9402-991021410042,NA,559,1038,20,25.210526315789473,57,53.599999999999994,480,1110,20,FALSE,FALSE,F16,Framingham Center,,42.3005,-71.43454
SA,b6082ce2-98f7-4a0a-a732-b515d167c4f8,NA,614,1010,5,99,100,100,480,1110,20,FALSE,FALSE,MB21,Target Marlborough,,42.3481158821652,-71.5046254697219
SA,b6ba290f-922e-4480-b04f-445cbfc8ac13,NA,612.85,1016.8666666666667,10,44.89074074074074,91.88333333333333,91.88333333333333,480,1110,20,FALSE,FALSE,MB15,Farm Road & Route 20,,42.3478624133982,-71.5082558398399
SA,b733ee7a-78ab-4474-b453-439df425e3fd,NA,540,1012,6,94.4,105,101.8,480,1110,20,FALSE,FALSE,N17,Senior Center,,42.286106,-71.337616
SA,b80dcf9b-8f7b-4b28-a288-01fbb3c2fc15,NA,1025.3666666666666,1025.3666666666666,1,NA,-Inf,NA,480,1110,20,FALSE,NA,F05,Concord St & Howard St/Downtown Common,,42.27765,-71.416779
SA,b9d83aa7-3d4f-43bb-886f-447d8d31b7df,NA,563,1008,14,34.23076923076923,60,49.8,480,1110,20,FALSE,FALSE,F81,St Patricks Manor,,42.3084795360851,-71.4299581307148
SA,bca44d7c-4431-4e9a-9156-5ae55ee413e4,NA,562,1030,21,23.4,56,46.300000000000004,480,1110,20,FALSE,FALSE,F25,Shoppers World Shelter,,42.2998057,-71.39492154
SA,c0edc72a-7821-492a-a60a-a95bff165e98,NA,520,980,6,92,96,95.6,480,1110,20,FALSE,FALSE,W19,Weston Rd,,42.3053359869323,-71.3126624412931
SA,c48fffe4-1842-4c6e-8999-7196473af1ae,NA,582,1010,8,61.142857142857146,68,63.2,480,1110,20,FALSE,FALSE,F70,Union Ave/ Lincoln St.,,42.2851014009178,-71.421620483495
SA,cb816f41-d2a5-4e37-80a2-67be7895cfaa,NA,588,1027,14,33.76923076923077,68,63.8,480,1110,20,FALSE,FALSE,MB7,Main St,,42.347161015699,-71.5464598862207
SA,ce76635d-25b6-4a57-be84-d8d752274e48,NA,480,1060,59,10,40,25.300000000000004,480,1110,20,FALSE,TRUE,BH,Blandin Hub,15 Blandin Ave Hub,42.2758746013567,-71.411843831053
SA,d05e1ba2-243c-487a-a043-fafbe84749ac,NA,499,955,6,91.2,96,95.6,480,1110,20,FALSE,FALSE,F34,High St,,42.300134,-71.435702
SA,d380719e-09d7-4b21-9ec6-852e339ce2ce,NA,534,1005,6,94.2,105,101.4,480,1110,20,FALSE,FALSE,N16,Leonard Morse Hospital,,42.2803552317831,-71.3340731760307
SA,e090f95b-ae87-482d-ae80-b41e78745b49,NA,510,976,13,38.833333333333336,74,69.9,480,1110,20,FALSE,FALSE,N22,Sherwood Plaza,,42.2988289474743,-71.3854146829494
SA,e0cb1216-2b30-40e3-bd7c-345540011dd6,NA,568,1025,11,45.7,49,49,480,1110,20,FALSE,FALSE,A3,Market Basket,,42.2574572120581,-71.4269433276024
SA,e31c1291-d515-40be-9fa7-7c9957a40d91,NA,500,1028,9,66,103,103,480,1110,20,FALSE,FALSE,F12,Stop and Shop,,42.2978110490925,-71.4487630992391
SA,e64db440-9753-4405-b36b-0b2be2a507f6,NA,490,1041,51,11.02,55,28.300000000000004,480,1110,20,FALSE,TRUE,F56,Banana Lot/Intermodal Center,Framingham MBTA (Rear),42.2770842776945,-71.4175287733989
SA,ee992cdc-6325-4e10-81e4-478fe91cb0c9,NA,555,995,14,33.84615384615385,65,63.2,480,1110,20,FALSE,FALSE,F21,Pinefield,,42.326086,-71.402609
SA,f1b3715d-148f-4a30-845f-45dcf2b67488,NA,551,945,5,98.5,102,101.1,480,1110,20,FALSE,FALSE,MB3,Route 20 & Felton St,,42.34132195,-71.57871723
SA,f22eb7a5-49ec-4a71-9166-a2c5ad582e52,NA,544,1018,6,94.8,105,102.6,480,1110,20,FALSE,FALSE,N30,Coolidge Gardens,,42.2805322575886,-71.3470792083191
SA,f5053b07-3236-4a92-8811-55c2dd7ee000,NA,485,1038,12,50.27272727272727,87,87,480,1110,20,FALSE,FALSE,F86,Second St at Rec Center,,42.2766725585861,-71.4000836849263
SA,f50f48a6-e47a-4c1c-8f35-a80047ac2bc6,NA,533,1021,8,69.71428571428571,90,90,480,1110,20,FALSE,FALSE,F49,Halstead Apartments,,42.2936174150477,-71.469366489015
SA,fc96bab4-cc32-4985-ac8e-79c75beac40e,NA,523,1003,14,36.92307692307692,74,64.2,480,1110,20,FALSE,FALSE,F28,MassBay Community College,,42.29134202,-71.41304255
WD,0033fe20-3ebf-4ffc-ba74-723fde22fefb,NA,360,1175,26,32.6,81,70,420,1140,15,TRUE,FALSE,HP5,South St & Hayward St,,42.2051487687319,-71.5453065362755
WD,0102c992-9895-4ccf-8ea1-d469fefb1dc1,NA,397,1166,56,13.981818181818182,67,39.6,420,1140,15,TRUE,TRUE,MB22,Newton and Weed St,,42.346049239996,-71.55065486137
WD,02f044a5-b26f-4a43-b319-346c57906bd5,NA,350,1165,13,67.91666666666667,79,72.7,420,1140,15,TRUE,FALSE,HP4,Route 85 & Route 135,,42.22846174,-71.52194023
WD,038a8988-55e4-4a23-959d-b44372917669,NA,447,1087,20,33.68421052631579,51,51,420,1140,15,FALSE,FALSE,H5,Machado House,,42.394799732852,-71.5672885815673
WD,06cdfc3a-7463-45b1-8c02-f41ef532498c,NA,386.5,1147.5,12,69.18181818181819,132,85,420,1140,15,TRUE,FALSE,MB6,Maple St / Walker St,,42.3331384261333,-71.5410753513024
WD,08763347-0cd0-4182-bd93-94b4bf79b609,NA,483.23333333333335,1193.8666666666666,11,71.06333333333332,82,78.4,420,1140,15,FALSE,FALSE,HL2,Mission Springs,,42.1792252170578,-71.4440450933006
WD,0895529e-8620-49e2-96b7-b2bc7482193b,NA,410,1206,18,46.8235294117647,60,57.2,420,1140,15,TRUE,FALSE,N57,Avenu at Natick,,42.3010136068471,-71.379806183565
WD,08a05c14-2db4-40b3-9def-f3deaa85c216,NA,448,1033,10,65,66,65.19999999999999,420,1140,15,FALSE,FALSE,F06,Carlson Rd,,42.2729174657415,-71.3970112143166
WD,08bddd79-9213-464e-bbb5-226afb92a77a,NA,408,1214,37,22.38888888888889,60,46.5,420,1140,15,TRUE,FALSE,N38,Mathworks Lakeside,,42.302639025607,-71.3758499250322
WD,0a4cc4a9-cd68-46f2-b3ed-28b2147f14fd,NA,430.85,1205.55,12,70.42727272727272,132,85,420,1140,15,FALSE,FALSE,F58,Halstead Apartments Rear Parking,,42.2935919340606,-71.4708215874923
WD,0a959b0e-7d4c-4b4c-90b0-72ee387a9387,NA,409.28333333333336,1147.2833333333333,12,67.09090909090908,77.10000000000002,75,420,1140,15,TRUE,FALSE,F19,Vernon St & Pleasant St,,42.30080555,-71.43608808
WD,0b9f2b69-08e3-45ce-a6f4-e4c529c11701,NA,433,1127,11,69.4,74,73.10000000000001,420,1140,15,FALSE,FALSE,MF12,Milford Police and Post Office,,42.1390819334437,-71.5211747003302
WD,0c31e628-5b24-44fa-808c-f24b81e1edb3,NA,381,1180,24,34.73913043478261,94,45.60000000000001,420,1140,15,TRUE,FALSE,S3,Downtown Southborough,,42.305753070459,-71.5260227934136
WD,120ef11b-8a1f-4058-a462-450201afcde8,NA,368,1174,12,73.27272727272727,91,85,420,1140,15,TRUE,FALSE,HL4,Holliston Congregational Church,,42.2014862121037,-71.4291722434266
WD,12b6eec7-547f-45cf-becb-2846be5028a5,NA,446,1133,11,68.7,75,72.3,420,1140,15,FALSE,FALSE,MF16,Milford Shaws/Wallgreens,,42.1382209442986,-71.5346903523618
WD,1960ce3a-fc28-4f04-901e-25703c6a0f40,NA,453,1180,12,66.0909090909091,82,70,420,1140,15,FALSE,FALSE,F42,Arsenal Rd,,42.295707,-71.41065
WD,1965cd2d-df70-4cc7-aff6-589b0be9138c,NA,436.3333333333333,1127.4666666666667,11,69.11333333333334,73,72.19000000000001,420,1140,15,FALSE,FALSE,MF13,Fruit St / S. Mail St,,42.1334814806868,-71.5207710278494
WD,1b9378ff-35b5-4642-ba52-662ba5384f4a,NA,406,1133,17,45.4375,52,48.5,420,1140,15,FALSE,FALSE,F65,Arlington St/Waushakum St,,42.2712209684385,-71.4175287733989
WD,1d2d1903-683f-4059-9a2c-98ec0599e027,NA,414.26666666666665,1185.2666666666667,12,70.0909090909091,132,85,420,1140,15,TRUE,FALSE,S6,Chinese Gospel Church,,42.294497179657,-71.5047180059384
WD,1dd033e2-d1ac-413a-a0dc-2d1a6d84d450,NA,402.96666666666664,1173.9666666666667,12,70.0909090909091,132,85,420,1140,15,TRUE,FALSE,MB12,Maple St / S. Mill St,,42.3319046099129,-71.5410391414785
WD,1ec91042-4319-40bf-b4ed-62d37f2cc0e5,NA,427,1152,35,21.323529411764707,50,43,420,1140,15,FALSE,FALSE,MB13,Marlborough Hospital,,42.3537444981184,-71.5548820230294
WD,1f409f79-be89-4902-9cd6-5849c28cc1d9,NA,373,1098,17,45.3125,52,48,420,1140,15,FALSE,FALSE,F60,MCI/Adesa,MCI Adesa,42.2638757386134,-71.4077534620615
WD,1fd95a95-e63a-4fc2-ae07-5590f1e02017,NA,371.25,1194.7333333333333,22,39.21349206349206,80.5666666666666,62.816666666666606,420,1140,15,TRUE,FALSE,W2,Cedar Street,,42.3183837,-71.2484622
WD,2084f27d-e861-4134-8367-842a0e9d8645,NA,415,1205,18,46.470588235294116,86,82.6,420,1140,15,TRUE,FALSE,N15,Natick Common,,42.28378,-71.34729
WD,21609f30-afce-446f-a930-19f66a023574,NA,361,1190.1666666666667,24,36.050724637681164,63.83333333333337,59,420,1140,15,TRUE,FALSE,F59,500 Staples Dr rear Entrance,,42.2907917076821,-71.4927660818556
WD,2201cb43-0df7-4b53-a688-cfc750958ae8,NA,431,1159,22,34.666666666666664,46,40,420,1140,15,FALSE,FALSE,MF10,Milford Town Hall- Route 14,,42.1424574936901,-71.5179962824581
WD,266a135e-4851-4d05-8bcf-3b9726df2bc6,NA,337.81666666666666,1100.8166666666666,14,58.692307692307686,132,82.99999999999991,420,1140,15,FALSE,FALSE,F57,Franklin St & Proctor St,,42.2796323764105,-71.4187786828744
